code,state,area (sq. mi),population,density
DC,District of Columbia,68,605125,8899
PR,Puerto Rico,3515,3721208,1059
NJ,New Jersey,8722,8802707,1009
RI,Rhode Island,1545,1052669,681
CT,Connecticut,5544,3579210,646
MA,Massachusetts,10555,6563263,622
MD,Maryland,12407,5787193,466
DE,Delaware,1954,899711,460
NY,New York,54475,19398228,356
FL,Florida,65758,18846054,287
PA,Pennsylvania,46058,12710472,276
OH,Ohio,44828,11545435,258
CA,California,163707,37333601,228
IL,Illinois,57918,12839695,222
VA,Virginia,42769,8024417,188
NC,North Carolina,53821,9559533,178
IN,Indiana,36420,6489965,178
GA,Georgia,59441,9713248,163
TN,Tennessee,42146,6356683,151
SC,South Carolina,32007,4636361,145
NH,New Hampshire,9351,1316614,141
HI,Hawaii,10932,1363731,125
KY,Kentucky,40411,4347698,108
MI,Michigan,96810,9876149,102
WA,Washington,71303,6742256,95
TX,Texas,268601,25245178,94
AL,Alabama,52423,4785570,91
LA,Louisiana,51843,4545392,88
WI,Wisconsin,65503,5689060,87
MO,Missouri,69709,5996063,86
WV,West Virginia,24231,1854146,77
VT,Vermont,9615,625793,65
MN,Minnesota,86943,5310337,61
MS,Mississippi,48434,2970047,61
AZ,Arizona,114006,6408790,56
AR,Arkansas,53182,2922280,55
IA,Iowa,56276,3050314,54
OK,Oklahoma,69903,3759263,54
CO,Colorado,104100,5048196,48
OR,Oregon,98386,3837208,39
ME,Maine,35387,1327366,38
KS,Kansas,82282,2858910,35
UT,Utah,84904,2774424,33
NV,Nevada,110567,2703230,24
NE,Nebraska,77358,1829838,24
ID,Idaho,83574,1570718,19
NM,New Mexico,121593,2064982,17
SD,South Dakota,77121,816211,11
ND,North Dakota,70704,674344,10
MT,Montana,147046,990527,7
WY,Wyoming,97818,564222,6
AK,Alaska,656425,713868,1
